quarter,fiscal_quarter,period_end,reported_date_approx,revenue_usd_m,revenue_yoy_pct,billings_usd_m,rpo_usd_m,dbnr_rate_pct,customers_arr_ge_100k,total_customers_k,customers_arr_1m,crpo_growth_pct,multi_product_4plus_pct,confidence,notes,rpo_yoy_pct,customers_arr_100k_yoy_pct,dbnr_qoq_change,net_new_arr_usd_m,revenue_guidance_mid_usd_m,guidance_beat_pct,gt_datadog_qmean,gt_datadog_pricing_qmean,gt_datadog_login_qmean,gt_datadog_vs_new_relic_qmean,gt_datadog_vs_splunk_qmean,gt_datadog_careers_qmean,gt_datadog_qend,gt_datadog_pricing_qend,gt_datadog_login_qend,gt_datadog_vs_new_relic_qend,gt_datadog_vs_splunk_qend,gt_datadog_careers_qend,gt_datadog_yoy,gt_datadog_pricing_yoy,gt_datadog_login_yoy,gt_datadog_vs_new_relic_yoy,gt_datadog_vs_splunk_yoy,gt_datadog_careers_yoy,npm_browser_logs_qmean,npm_browser_rum_qmean,npm_dd_trace_qmean,npm_browser_logs_qend,npm_browser_rum_qend,npm_dd_trace_qend,npm_browser_logs_yoy,npm_browser_rum_yoy,npm_dd_trace_yoy,aws_rev_usd_m,aws_growth_yoy_pct,msft_intelligent_cloud_usd_m,azure_growth_yoy_pct,gcp_rev_usd_m,gcp_growth_yoy_pct,aws_rev_usd_m_yoy,msft_intelligent_cloud_usd_m_yoy,gcp_rev_usd_m_yoy
2023Q3,2023Q3,2023-09-30,2023-11-07,547.54,25.62,,,119.0,3130.0,26.8,,,,medium,NRR reported qualitatively as slightly below 120%; 119 is a point estimate. Billings not filled.,,20.38461538461538,,152.31999999999994,523.0,4.692160611854668,36.0,15.333333333333334,29.666666666666668,21.0,25.0,16.0,36.0,16.0,29.0,20.0,27.5,16.0,10.204081632653072,2.2222222222222365,0.0,0.0,4.166666666666674,23.076923076923084,99923.22826086957,186669.72826086957,343692.5,70574.5,143309.0,223455.0,16.111683204032467,37.73562812311151,60.432335114053856,23059.0,,,,,,,,
2023Q4,2023Q4,2023-12-31,2024-02-13,589.65,26.89,723.0,1840.0,,3190.0,27.3,396.0,45.0,,low,Billings RPO and total/1M-customer counts confirmed. cRPO growth reported qualitatively as mid-40s%. $100k-customer count derived from a later quarter's YoY comparison rather than read directly from this quarter's filing.,73.58490566037736,14.748201438848918,,168.44000000000005,566.0,4.178445229681982,34.333333333333336,14.333333333333334,29.666666666666668,20.333333333333332,19.666666666666668,16.0,33.5,14.0,31.0,18.0,16.5,15.5,10.752688172043023,2.3809523809523947,9.876543209876543,-3.1746031746031855,-15.714285714285703,4.347826086956519,93001.86956521739,166959.13043478262,270937.8369565217,11068.5,18397.5,41993.5,9.315133249095764,12.75261310741862,16.7812579016557,24204.0,,,,,,,,
2024Q1,2024Q1,2024-03-31,2024-05-07,611.25,26.66,,1731.5,,3340.0,28.0,,,47.0,high,RPO and total customer count confirmed. 4-plus-product adoption confirmed. $100k-customer count derived from a later quarter's YoY comparison. Billings not filled.,52.11279978915928,14.77663230240549,,86.40000000000009,589.0,3.7775891341256473,41.333333333333336,17.333333333333332,38.0,16.666666666666668,20.666666666666668,30.666666666666668,43.5,19.0,41.0,19.5,22.0,27.5,13.761467889908264,3.9999999999999813,4.587155963302747,-19.354838709677413,-17.333333333333336,76.92307692307693,110516.3956043956,189823.67032967033,303077.7582417582,17435.5,31933.0,64863.5,10.602923958572518,10.279170129563674,7.232256314547136,25037.0,,,,,,17.24735412569074,,
2024Q2,2024Q2,2024-06-30,2024-08-08,645.28,26.02,,1790.0,,3390.0,28.7,,,46.0,high,RPO total customer count and 4-plus-product adoption confirmed. Billings not filled. The mid-to-high-90s figure disclosed this quarter is gross revenue retention rather than net revenue retention.,42.91417165668663,13.377926421404673,,136.1199999999999,622.0,3.742765273311899,41.666666666666664,18.333333333333332,40.333333333333336,18.333333333333332,17.666666666666668,20.666666666666668,41.5,18.5,37.5,17.0,16.0,20.0,19.047619047619047,5.769230769230771,22.222222222222232,-8.333333333333337,-34.5679012345679,21.568627450980404,120751.28571428571,200838.0,331632.5494505495,18570.5,28910.0,58480.5,28.098808119337292,9.152534153283675,9.198292199172409,26281.0,,,,,,18.70370370370371,,
2024Q3,2024Q3,2024-09-30,2024-11-07,690.02,25.11,689.0,1820.0,115.0,3490.0,29.2,,,49.0,medium,Billings total customer count and 4-plus-product adoption confirmed. NRR reported qualitatively as mid-110s%; 115 is a point estimate.,,11.501597444089452,,178.96000000000004,662.0,4.232628398791527,43.333333333333336,18.666666666666668,41.333333333333336,16.666666666666668,23.666666666666668,31.666666666666668,42.5,18.5,37.0,15.5,24.0,29.5,20.370370370370374,21.739130434782616,39.32584269662922,-20.63492063492063,-5.333333333333323,97.91666666666667,127253.02173913043,213222.8260869565,368505.48913043475,98454.5,169563.5,292977.0,27.350791156297483,14.224640531419851,7.219531741435947,27452.0,,,33.0,,,19.05112971074201,,
2024Q4,2024Q4,2024-12-31,2025-02-13,737.73,24.59,,2270.0,118.0,3610.0,30.0,462.0,,50.0,medium,Total/1M-customer counts and 4-plus-product adoption confirmed. NRR reported qualitatively as high-110s%; 118 is a point estimate. Billings not filled (only a qualitative bookings comment was found rather than a precise figure).,23.369565217391308,13.166144200626961,3.0,190.84000000000015,711.0,3.7594936708860827,42.0,18.333333333333332,37.0,16.333333333333332,21.0,22.666666666666668,41.0,17.5,35.0,14.5,19.0,21.5,22.330097087378633,27.90697674418603,24.7191011235955,-19.672131147540984,6.779661016949157,41.66666666666667,124756.40217391304,225978.96739130435,407122.9130434783,60301.5,111666.5,214167.5,34.14397232781201,35.349870835351524,50.26432543226165,28786.0,,,,,,18.9307552470666,,
2025Q1,2025Q1,2025-03-31,2025-05-06,761.55,28.12,748.0,,120.0,3770.0,30.5,,,51.0,medium,Billings total customer count and 4-plus-product adoption confirmed. NRR confirmed at 120%. RPO not filled for this quarter.,,12.874251497005984,2.0,95.27999999999975,739.0,3.051420838971586,45.333333333333336,19.666666666666668,42.333333333333336,12.333333333333334,23.333333333333332,31.0,47.5,21.0,47.0,13.5,23.0,32.5,9.677419354838701,13.461538461538481,11.403508771929838,-26.0,12.903225806451601,1.0869565217391353,146133.82222222222,258129.1222222222,475638.2,116786.0,208095.0,403106.5,32.2281833596191,35.98363248056711,56.93602947287022,29267.0,,,,,,16.894995406797932,,
2025Q2,2025Q2,2025-06-30,2025-08-07,826.76,28.35,,2430.0,120.0,3850.0,,,,,high,RPO confirmed. NRR of 120% inferred from the following quarter's disclosure that it was unchanged. Billings not filled: a search result for this quarter returned figures identical to Q2 2026 (an apparent mislabeling) so left blank rather than use an unverified number. Total customer count and 4-plus-product adoption not found for this quarter.,35.75418994413408,13.569321533923295,0.0,260.84000000000015,,,46.0,22.666666666666668,46.0,17.333333333333332,24.666666666666668,24.666666666666668,46.5,24.0,44.0,20.5,27.0,22.5,10.40000000000001,23.636363636363654,14.049586776859503,-5.454545454545457,39.622641509433954,19.354838709677423,169299.27472527474,305273.3846153846,512396.8901098901,130953.0,231727.5,400095.5,40.20494583044052,51.9998130908417,54.50741821296852,30873.0,,,,,,17.472698907956307,,
2025Q3,2025Q3,2025-09-30,2025-11-06,885.65,29.21,893.0,2790.0,120.0,4060.0,,,51.0,54.0,high,Billings RPO NRR and 4-plus-product adoption confirmed. cRPO growth reported qualitatively as low-50s%. Total customer count not found for this quarter.,53.296703296703306,16.33237822349569,0.0,235.55999999999995,849.0,4.316843345111887,80.0,67.0,77.0,36.0,38.333333333333336,44.666666666666664,91.5,87.0,82.0,40.0,42.5,52.0,84.6153846153846,258.9285714285714,86.29032258064515,115.99999999999997,61.9718309859155,41.05263157894736,192392.08695652173,338401.01086956525,525155.4130434783,298928.5,518434.5,758778.0,51.18861959201788,58.707684857135604,42.50952252643279,33006.0,,,40.0,,,20.231677109135937,,
2025Q4,2025Q4,2025-12-31,2026-02-12,953.19,32.15,1210.0,3460.0,120.0,4310.0,32.7,,40.0,55.0,medium,Billings total/customer counts and 4-plus-product adoption confirmed. cRPO growth reported as about 40%. NRR of 120% inferred from the following quarter's disclosure.,52.422907488986795,19.390581717451518,0.0,270.1600000000003,914.0,4.287746170678353,69.0,61.0,64.33333333333333,52.666666666666664,46.0,36.666666666666664,62.5,62.5,58.0,58.0,45.0,35.0,64.28571428571428,232.72727272727275,73.87387387387385,222.44897959183675,119.04761904761907,61.76470588235292,206448.88043478262,355365.1304347826,556241.2934782609,129458.5,203057.0,351235.5,65.4815919963679,57.2558431154496,36.62736133420661,35579.0,,,39.0,17700.0,,23.598276940179264,,
2026Q1,2026Q1,2026-03-31,2026-05-07,1006.0,35.64,1030.0,3480.0,121.0,4550.0,,,45.0,,high,Billings RPO and customer count confirmed. cRPO growth reported qualitatively as mid-40s%. NRR reported qualitatively as low-120s%; 121 is a point estimate. Total customer count and 4-plus-product adoption not found for this quarter.,,20.68965517241379,1.0,211.23999999999978,956.0,5.230125523012563,67.66666666666667,73.0,59.333333333333336,81.33333333333333,79.33333333333333,47.333333333333336,73.5,80.5,67.0,91.0,81.0,52.0,49.26470588235294,271.18644067796606,40.15748031496062,559.4594594594594,240.0,52.68817204301075,284571.14444444445,490037.7888888889,755942.7444444444,461491.5,790282.0,1183918.5,94.73325210894976,89.84211648425222,58.93230283952053,37587.0,,,,20000.0,,28.42792223323196,,
2026Q2,2026Q2,2026-06-30,2026-08-13,1121.0,36.0,1180.0,3470.0,121.0,4720.0,33.4,,40.0,,high,Billings RPO total customer count confirmed. cRPO growth reported as about 40%. NRR reported qualitatively as low-120s%; 121 is a point estimate. 4-plus-product adoption not found for this quarter.,42.79835390946503,22.597402597402592,0.0,460.0,1075.0,4.2790697674418565,80.33333333333333,76.66666666666667,83.0,78.0,85.0,80.66666666666667,84.0,74.0,90.5,67.0,77.5,85.5,74.63768115942028,238.23529411764704,80.43478260869566,350.0,244.59459459459455,227.02702702702703,396155.6153846154,645235.6703296703,1014235.4395604396,577866.0,969769.5,1532653.0,133.99723125067422,111.36322484929559,97.93942140104008,42232.0,,,,24800.0,,36.792666731448186,,
2026Q3,2026Q3,2026-09-30,2026-11-06,,,,,,,,,,,,Target quarter. All financial columns intentionally blank -- this is the quarter being nowcast.,,,,,1140.0,,57.666666666666664,30.666666666666668,47.0,31.666666666666668,30.0,52.666666666666664,43.0,20.5,39.0,18.5,19.5,44.0,-27.916666666666668,-54.22885572139303,-38.961038961038966,-12.037037037037035,-21.739130434782616,17.910447761194035,441657.7313432836,806992.8208955224,1276532.8208955224,387216.0,681879.5,1181745.5,129.56127683312303,138.47234345484068,143.07715186586805,,,,,,,,,
